Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1290917.91,0,54.53,2.474,210.531,8.368
1,12-02-2010,1734259.11,1,55.82,2.59,211.535,8.742
1,19-02-2010,1184172.59,0,42.8,2.627,211.166,8.417
1,26-02-2010,1432185.06,0,62.43,2.564,211.772,8.533
1,05-03-2010,1395508.84,0,64.51,2.597,211.72,8.558
1,12-03-2010,1589830.0,0,65.81,2.525,210.847,8.615
1,19-03-2010,1360900.17,0,64.14,2.638,210.432,8.343
1,26-03-2010,1293477.06,0,73.6,2.632,210.232,7.989
1,02-04-2010,1501307.9,0,70.86,2.666,212.579,8.033
1,09-04-2010,1559514.95,0,70.13,2.681,212.493,8.868
1,16-04-2010,1220898.16,0,70.48,2.675,210.88,8.19
1,23-04-2010,1586253.01,0,63.17,2.697,210.927,8.495
1,30-04-2010,1605246.22,0,71.06,2.693,210.937,8.378
1,07-05-2010,1221172.28,0,60.36,2.762,213.768,8.467
1,14-05-2010,1323306.53,0,67.61,2.659,212.509,8.522
1,21-05-2010,1398534.44,0,61.76,2.652,211.076,8.405
1,28-05-2010,1509875.25,0,79.15,2.564,211.26,8.46
1,04-06-2010,1439078.1,0,66.44,2.862,213.074,8.409
1,11-06-2010,1446169.05,0,51.95,2.668,210.768,8.304
1,18-06-2010,1315286.79,0,53.95,2.623,211.89,8.495
1,25-06-2010,1202045.17,0,59.25,2.569,211.38,8.249
1,02-07-2010,1197739.29,0,54.72,2.624,213.373,8.192
1,09-07-2010,1164540.79,0,41.51,2.587,211.796,8.296
1,16-07-2010,1240669.92,0,35.89,2.842,213.463,8.237
1,23-07-2010,1445439.12,0,46.19,2.591,212.796,8.72
1,30-07-2010,1182304.74,0,30.3,2.657,212.627,8.061
1,06-08-2010,1202763.54,0,24.31,2.907,212.621,8.343
1,13-08-2010,1195282.63,0,27.72,2.769,211.47,8.458
1,20-08-2010,1088820.68,0,19.52,2.698,213.554,8.421
1,27-08-2010,1161467.3,0,23.65,2.752,213.284,8.55
1,03-09-2010,997465.02,0,19.87,2.887,213.081,7.986
1,10-09-2010,1265083.12,1,17.73,2.629,212.994,8.475
1,17-09-2010,1061997.92,0,11.01,2.715,213.691,8.369
1,24-09-2010,1072517.37,0,19.35,2.885,214.664,8.388
1,01-10-2010,948745.09,0,9.29,2.64,213.234,8.247
1,08-10-2010,1155567.99,0,9.87,2.968,212.349,8.058
1,15-10-2010,1088549.17,0,13.17,3.139,211.765,8.394
1,22-10-2010,989745.81,0,10.3,2.924,213.054,7.863
1,29-10-2010,1298178.82,0,16.82,2.951,212.71,8.351
1,05-11-2010,1056484.53,0,13.86,2.866,213.482,8.346
1,12-11-2010,1067913.03,0,17.05,2.672,213.628,8.235
1,19-11-2010,1063516.94,0,11.64,2.806,212.478,7.761
1,26-11-2010,1119289.6,1,19.5,2.833,213.927,8.009
1,03-12-2010,1715777.24,0,21.25,2.797,212.317,8.29
1,10-12-2010,1359835.99,0,21.67,2.731,214.157,7.913
1,17-12-2010,1452823.8,0,27.47,2.883,212.813,8.214
1,24-12-2010,1452420.92,0,34.45,2.832,212.587,8.109
1,31-12-2010,1834667.7,1,27.98,2.701,213.926,8.092
1,07-01-2011,1415334.79,0,39.76,2.985,213.317,8.263
1,14-01-2011,1205718.01,0,36.3,2.923,213.222,8.494
1,21-01-2011,1212262.35,0,36.34,2.876,213.573,8.016
1,28-01-2011,1228633.64,0,40.79,2.922,214.54,8.111
1,04-02-2011,1215620.76,0,56.36,3.191,213.129,8.535
1,11-02-2011,1618283.1,1,56.14,2.933,213.101,8.29
1,18-02-2011,1342956.08,0,52.59,2.757,213.497,8.178
1,25-02-2011,1358679.07,0,58.78,3.16,214.331,8.264
1,04-03-2011,1436968.69,0,71.84,3.053,214.874,8.487
1,11-03-2011,1531094.3,0,64.63,3.045,215.261,8.225
1,18-03-2011,1423794.14,0,62.64,2.913,213.58,7.872
1,25-03-2011,1300555.9,0,63.83,3.123,212.834,8.436
1,01-04-2011,1497282.56,0,63.81,2.951,216.285,8.092
1,08-04-2011,1493279.41,0,69.08,3.024,213.827,8.11
1,15-04-2011,1394180.67,0,78.39,2.846,215.944,8.206
1,22-04-2011,1478164.56,0,67.26,3.138,214.562,7.793
1,29-04-2011,1398982.95,0,75.72,3.119,213.706,7.832
1,06-05-2011,1397280.72,0,82.25,2.912,213.699,8.153
1,13-05-2011,1434137.33,0,64.98,3.269,213.688,8.072
1,20-05-2011,1457020.86,0,61.96,2.923,214.811,8.438
1,27-05-2011,1354272.43,0,66.43,3.075,214.283,8.312
1,03-06-2011,1368272.14,0,48.22,2.942,214.829,8.262
1,10-06-2011,1485255.5,0,53.41,3.146,214.936,8.215
1,17-06-2011,1432130.95,0,50.23,2.866,214.398,7.846
1,24-06-2011,1513577.43,0,51.38,2.912,214.176,7.752
1,01-07-2011,1362331.05,0,42.36,3.198,215.494,8.193
1,08-07-2011,992834.73,0,37.3,2.991,214.111,8.016
1,15-07-2011,1277576.79,0,45.71,2.944,215.557,7.991
1,22-07-2011,1159422.62,0,37.64,3.155,214.486,7.914
1,29-07-2011,1225612.68,0,47.63,3.17,215.168,7.85
1,05-08-2011,1085436.92,0,20.06,3.118,213.958,8.318
1,12-08-2011,1150825.73,0,20.62,3.034,214.395,7.901
1,19-08-2011,1144049.62,0,21.77,3.007,213.652,8.136
1,26-08-2011,1172922.92,0,28.24,3.245,215.318,7.754
1,02-09-2011,1206142.16,0,21.02,3.155,215.716,7.972
1,09-09-2011,1260827.58,1,10.63,3.315,215.0,7.836
1,16-09-2011,1225597.56,0,15.73,3.391,215.695,8.014
1,23-09-2011,1030370.76,0,17.02,3.136,216.731,7.827
1,30-09-2011,784408.46,0,9.78,3.106,215.708,7.923
1,07-10-2011,1277396.3,0,8.66,3.182,216.476,7.837
1,14-10-2011,1081548.19,0,16.98,3.194,216.733,8.055
1,21-10-2011,1236048.32,0,14.01,3.239,215.824,8.115
1,28-10-2011,1039359.12,0,11.26,3.188,213.554,8.342
1,04-11-2011,1210254.27,0,16.69,3.457,216.019,7.886
1,11-11-2011,1119475.68,0,16.32,3.325,214.269,8.166
1,18-11-2011,991018.53,0,7.16,3.315,213.729,8.393
1,25-11-2011,1349541.94,1,22.08,3.185,216.352,7.743
1,02-12-2011,1562593.23,0,23.82,3.347,216.015,7.627
1,09-12-2011,1704241.99,0,22.48,3.405,215.764,7.885
1,16-12-2011,1403645.52,0,36.91,3.379,215.713,7.825
1,23-12-2011,1354694.59,0,21.87,3.273,217.964,7.861
1,30-12-2011,1736857.41,1,25.21,3.318,216.036,8.06
1,06-01-2012,1289072.69,0,43.84,3.255,217.989,7.925
